Task_ID,Task_Description,Category,Priority,Days_Remaining,Estimated_Hours,Current_Workload,Assigned_User,Cleaned_Description
161,Debug API response failure,Bug,High,9,11,89,Designer_1,debug api respons failur
162,Correct password reset issue,Bug,Medium,22,18,58,Tester_1,correct password reset issu
163,Update installation guide,Documentation,Low,3,8,90,Tester_1,updat instal guid
164,Create user profile page,Development,Low,4,4,66,Developer_2,creat user profil page
165,Test login functionality,Testing,Low,26,2,47,Tester_1,test login function
166,Check application security,Testing,Low,17,14,82,Developer_2,check applic secur
167,Create REST API for products,Development,Low,28,13,89,Developer_2,creat rest api product
168,Update installation guide,Documentation,Low,15,9,68,Tester_1,updat instal guid
169,Correct password reset issue,Bug,Medium,10,18,30,Developer_1,correct password reset issu
170,Prepare user manual,Documentation,Critical,10,14,98,Tester_1,prepar user manual
171,Prepare user manual,Documentation,Low,13,16,23,Developer_2,prepar user manual
172,Update installation guide,Documentation,Medium,10,10,12,Designer_1,updat instal guid
173,Test login functionality,Testing,High,22,2,87,Designer_1,test login function
174,Validate dashboard functionality,Testing,High,20,12,38,Developer_2,valid dashboard function
175,Design user profile interface,Design,High,24,5,90,Developer_1,design user profil interfac
176,Fix database connection issue,Bug,High,2,19,56,Developer_2,fix databas connect issu
177,Fix database connection issue,Bug,Medium,14,6,35,Developer_2,fix databas connect issu
178,Design user profile interface,Design,Medium,30,9,31,Tester_1,design user profil interfac
179,Prepare user manual,Documentation,High,11,4,69,Developer_1,prepar user manual
180,Implement notification system,Development,Critical,28,13,81,Tester_1,implement notif system
181,Correct password reset issue,Bug,Medium,9,18,25,Designer_1,correct password reset issu
182,Test user registration,Testing,High,9,19,58,Tester_1,test user registr
183,Fix user registration problem,Bug,Medium,1,20,81,Tester_1,fix user registr problem
184,Create dashboard UI,Design,High,21,15,99,Tester_1,creat dashboard ui
185,Update project documentation,Documentation,Low,2,10,73,Developer_1,updat project document
186,Resolve payment processing error,Bug,Critical,5,13,68,Tester_1,resolv payment process error
187,Improve website layout,Design,High,24,5,63,Developer_1,improv websit layout
188,Update installation guide,Documentation,Medium,9,2,98,Tester_1,updat instal guid
189,Develop payment gateway,Development,Medium,8,12,22,Tester_1,develop payment gateway
190,Design mobile interface,Design,Medium,13,9,34,Developer_1,design mobil interfac
191,Update project documentation,Documentation,High,21,20,12,Developer_1,updat project document
192,Perform API testing,Testing,Critical,26,19,36,Developer_1,perform api test
193,Create dashboard UI,Design,High,27,8,52,Developer_2,creat dashboard ui
194,Design login page,Design,Medium,5,5,79,Tester_1,design login page
195,Develop user authentication module,Development,High,1,5,11,Tester_1,develop user authent modul
196,Build task management module,Development,Medium,6,9,16,Developer_2,build task manag modul
197,Update installation guide,Documentation,Low,3,16,67,Tester_1,updat instal guid
198,Create application prototype,Design,Low,17,8,88,Developer_1,creat applic prototyp
199,Design user profile interface,Design,Medium,1,2,71,Designer_1,design user profil interfac
200,Write technical documentation,Documentation,Low,23,15,19,Developer_1,write technic document
201,Perform regression testing,Testing,Low,5,9,89,Manager_1,perform regress test
202,Design mobile interface,Design,Medium,20,17,47,Designer_1,design mobil interfac
203,Create application prototype,Design,Medium,26,4,93,Manager_1,creat applic prototyp
204,Develop payment gateway,Development,Medium,8,14,53,Designer_1,develop payment gateway
205,Document database structure,Documentation,High,11,14,50,Tester_1,document databas structur
206,Perform API testing,Testing,High,16,3,21,Developer_1,perform api test
207,Debug API response failure,Bug,Low,24,12,26,Manager_1,debug api respons failur
208,Resolve application crash,Bug,Critical,18,11,95,Developer_1,resolv applic crash
209,Prepare user manual,Documentation,Critical,25,14,16,Tester_1,prepar user manual
210,Design user profile interface,Design,Medium,19,17,37,Developer_2,design user profil interfac
211,Write API documentation,Documentation,High,12,18,57,Developer_1,write api document
212,Perform regression testing,Testing,Medium,14,18,89,Manager_1,perform regress test
213,Design login page,Design,High,22,9,13,Developer_2,design login page
214,Test user registration,Testing,High,30,11,54,Developer_1,test user registr
215,Implement notification system,Development,Low,22,13,18,Developer_2,implement notif system
216,Fix login authentication bug,Bug,High,7,13,63,Designer_1,fix login authent bug
217,Perform API testing,Testing,Medium,24,11,82,Manager_1,perform api test
218,Fix login authentication bug,Bug,Low,25,20,16,Developer_1,fix login authent bug
219,Check application security,Testing,High,16,20,66,Designer_1,check applic secur
220,Perform API testing,Testing,High,4,12,65,Developer_1,perform api test
221,Test user registration,Testing,High,16,17,95,Tester_1,test user registr
222,Resolve payment processing error,Bug,Medium,20,2,10,Developer_2,resolv payment process error
223,Perform API testing,Testing,High,25,9,47,Tester_1,perform api test
224,Fix login authentication bug,Bug,Medium,14,6,26,Designer_1,fix login authent bug
225,Design mobile interface,Design,Medium,18,12,19,Designer_1,design mobil interfac
226,Debug API response failure,Bug,Low,30,3,50,Manager_1,debug api respons failur
227,Update installation guide,Documentation,Medium,21,14,47,Developer_1,updat instal guid
228,Update project documentation,Documentation,Critical,6,20,68,Tester_1,updat project document
229,Debug API response failure,Bug,High,8,14,85,Designer_1,debug api respons failur
230,Design login page,Design,Medium,10,11,38,Tester_1,design login page
231,Develop user authentication module,Development,Medium,4,17,75,Developer_2,develop user authent modul
232,Test payment module,Testing,High,27,5,40,Developer_1,test payment modul
233,Implement dashboard functionality,Development,Low,20,5,93,Developer_1,implement dashboard function
234,Implement notification system,Development,High,15,19,84,Designer_1,implement notif system
235,Design mobile interface,Design,High,20,11,90,Tester_1,design mobil interfac
236,Develop payment gateway,Development,Low,15,10,45,Manager_1,develop payment gateway
237,Fix database connection issue,Bug,Medium,10,15,67,Developer_1,fix databas connect issu
238,Fix database connection issue,Bug,High,3,3,88,Manager_1,fix databas connect issu
239,Improve website layout,Design,Medium,18,2,67,Manager_1,improv websit layout
240,Implement dashboard functionality,Development,High,17,5,17,Designer_1,implement dashboard function
241,Correct password reset issue,Bug,Critical,11,3,74,Developer_2,correct password reset issu
242,Resolve payment processing error,Bug,High,15,17,76,Manager_1,resolv payment process error
243,Implement dashboard functionality,Development,Medium,10,13,62,Tester_1,implement dashboard function
244,Design login page,Design,High,21,11,18,Tester_1,design login page
245,Resolve application crash,Bug,High,10,9,94,Manager_1,resolv applic crash
246,Implement dashboard functionality,Development,Low,22,5,54,Tester_1,implement dashboard function
247,Write API documentation,Documentation,High,3,10,81,Designer_1,write api document
248,Validate dashboard functionality,Testing,Low,23,17,21,Designer_1,valid dashboard function
249,Design user profile interface,Design,Low,10,6,37,Tester_1,design user profil interfac
250,Write API documentation,Documentation,Medium,5,5,19,Tester_1,write api document
251,Resolve application crash,Bug,High,27,17,14,Tester_1,resolv applic crash
252,Create dashboard UI,Design,High,5,6,33,Manager_1,creat dashboard ui
253,Create user profile page,Development,Medium,14,12,96,Developer_2,creat user profil page
254,Update installation guide,Documentation,Medium,24,15,39,Manager_1,updat instal guid
255,Implement dashboard functionality,Development,Critical,26,16,34,Tester_1,implement dashboard function
256,Improve website layout,Design,Medium,10,13,74,Manager_1,improv websit layout
257,Write API documentation,Documentation,High,26,20,27,Tester_1,write api document
258,Fix user registration problem,Bug,Medium,12,18,23,Manager_1,fix user registr problem
259,Fix database connection issue,Bug,Low,6,9,67,Manager_1,fix databas connect issu
260,Implement notification system,Development,Medium,30,8,67,Tester_1,implement notif system
261,Debug API response failure,Bug,Low,17,12,40,Designer_1,debug api respons failur
262,Fix database connection issue,Bug,Medium,11,4,93,Tester_1,fix databas connect issu
263,Create REST API for products,Development,Low,30,16,99,Developer_2,creat rest api product
264,Document database structure,Documentation,High,29,3,12,Tester_1,document databas structur
265,Implement notification system,Development,Low,24,20,77,Designer_1,implement notif system
266,Correct password reset issue,Bug,Medium,10,4,16,Developer_2,correct password reset issu
267,Write technical documentation,Documentation,High,15,3,24,Designer_1,write technic document
268,Create application prototype,Design,Low,17,19,40,Developer_2,creat applic prototyp
269,Check application security,Testing,Low,12,8,83,Designer_1,check applic secur
270,Create user profile page,Development,High,17,12,18,Manager_1,creat user profil page
271,Create application prototype,Design,High,17,18,12,Designer_1,creat applic prototyp
272,Update project documentation,Documentation,High,12,9,12,Tester_1,updat project document
273,Fix database connection issue,Bug,Medium,22,4,84,Tester_1,fix databas connect issu
274,Develop user authentication module,Development,Medium,11,6,97,Designer_1,develop user authent modul
275,Write technical documentation,Documentation,Low,5,3,68,Developer_1,write technic document
276,Perform API testing,Testing,Low,7,2,50,Tester_1,perform api test
277,Improve website layout,Design,Critical,18,16,42,Developer_1,improv websit layout
278,Implement dashboard functionality,Development,Medium,25,2,93,Tester_1,implement dashboard function
279,Test login functionality,Testing,High,14,13,66,Designer_1,test login function
280,Perform API testing,Testing,Medium,16,12,76,Tester_1,perform api test
281,Fix user registration problem,Bug,Medium,14,20,33,Manager_1,fix user registr problem
282,Test payment module,Testing,Low,11,10,49,Designer_1,test payment modul
283,Design mobile interface,Design,Medium,23,15,54,Designer_1,design mobil interfac
284,Fix user registration problem,Bug,Critical,12,20,65,Tester_1,fix user registr problem
285,Fix login authentication bug,Bug,High,13,12,75,Developer_2,fix login authent bug
286,Resolve payment processing error,Bug,High,22,15,14,Developer_2,resolv payment process error
287,Resolve payment processing error,Bug,High,12,12,59,Manager_1,resolv payment process error
288,Resolve application crash,Bug,Low,15,12,57,Designer_1,resolv applic crash
289,Resolve application crash,Bug,Low,12,13,50,Tester_1,resolv applic crash
290,Develop user authentication module,Development,Low,6,16,76,Designer_1,develop user authent modul
291,Design login page,Design,Medium,9,15,37,Manager_1,design login page
292,Test user registration,Testing,Critical,16,7,25,Developer_2,test user registr
293,Debug API response failure,Bug,Low,23,15,21,Tester_1,debug api respons failur
294,Test user registration,Testing,Low,18,10,48,Developer_2,test user registr
295,Implement notification system,Development,Medium,8,4,35,Developer_2,implement notif system
296,Implement notification system,Development,Medium,12,18,83,Tester_1,implement notif system
297,Update installation guide,Documentation,Low,29,3,18,Tester_1,updat instal guid
298,Write technical documentation,Documentation,High,17,14,62,Manager_1,write technic document
299,Resolve payment processing error,Bug,Critical,21,3,67,Designer_1,resolv payment process error
300,Design user profile interface,Design,Low,27,18,91,Manager_1,design user profil interfac
301,Implement notification system,Development,Critical,14,17,17,Developer_1,implement notif system
302,Create dashboard UI,Design,Medium,6,11,100,Developer_2,creat dashboard ui
303,Perform regression testing,Testing,Critical,28,3,42,Developer_2,perform regress test
304,Design user profile interface,Design,Low,10,20,78,Developer_1,design user profil interfac
305,Design mobile interface,Design,Low,19,5,31,Manager_1,design mobil interfac
306,Design user profile interface,Design,High,19,2,13,Developer_1,design user profil interfac
307,Fix user registration problem,Bug,High,9,7,83,Designer_1,fix user registr problem
308,Design mobile interface,Design,Low,29,18,47,Tester_1,design mobil interfac
309,Write API documentation,Documentation,High,22,13,48,Designer_1,write api document
310,Fix user registration problem,Bug,Low,15,14,71,Designer_1,fix user registr problem
311,Implement dashboard functionality,Development,High,11,11,54,Designer_1,implement dashboard function
312,Implement notification system,Development,Medium,18,4,50,Developer_2,implement notif system
313,Update project documentation,Documentation,Medium,8,5,22,Developer_1,updat project document
314,Check application security,Testing,Critical,14,8,30,Tester_1,check applic secur
315,Design mobile interface,Design,Medium,25,6,73,Manager_1,design mobil interfac
316,Document database structure,Documentation,Critical,16,1,21,Designer_1,document databas structur
317,Improve website layout,Design,Critical,7,19,55,Developer_1,improv websit layout
318,Fix database connection issue,Bug,Medium,29,16,46,Manager_1,fix databas connect issu
319,Correct password reset issue,Bug,Low,5,9,56,Designer_1,correct password reset issu
320,Test login functionality,Testing,Medium,19,18,34,Tester_1,test login function
321,Design user profile interface,Design,Low,17,15,80,Tester_1,design user profil interfac
322,Design mobile interface,Design,High,5,4,60,Tester_1,design mobil interfac
323,Perform regression testing,Testing,Critical,25,5,35,Manager_1,perform regress test
324,Improve website layout,Design,Medium,2,2,27,Tester_1,improv websit layout
325,Update installation guide,Documentation,Medium,20,17,27,Tester_1,updat instal guid
326,Design user profile interface,Design,Low,20,10,85,Tester_1,design user profil interfac
327,Create application prototype,Design,Medium,23,19,48,Designer_1,creat applic prototyp
328,Fix database connection issue,Bug,Medium,4,14,84,Tester_1,fix databas connect issu
329,Resolve application crash,Bug,Medium,21,19,83,Developer_2,resolv applic crash
330,Resolve application crash,Bug,Medium,17,20,58,Developer_2,resolv applic crash
331,Develop user authentication module,Development,High,23,4,34,Developer_1,develop user authent modul
332,Prepare user manual,Documentation,Medium,14,7,62,Manager_1,prepar user manual
333,Improve website layout,Design,Critical,24,2,100,Developer_2,improv websit layout
334,Create dashboard UI,Design,High,22,16,77,Designer_1,creat dashboard ui
335,Perform API testing,Testing,Medium,18,11,79,Tester_1,perform api test
336,Perform regression testing,Testing,Medium,8,9,81,Tester_1,perform regress test
337,Implement dashboard functionality,Development,High,23,7,98,Designer_1,implement dashboard function
338,Check application security,Testing,Medium,30,9,46,Developer_1,check applic secur
339,Design mobile interface,Design,Medium,29,13,54,Developer_2,design mobil interfac
340,Test login functionality,Testing,Medium,23,3,54,Designer_1,test login function
341,Test user registration,Testing,Medium,7,18,44,Manager_1,test user registr
342,Perform API testing,Testing,Low,24,19,40,Developer_2,perform api test
343,Fix user registration problem,Bug,Critical,8,8,16,Developer_1,fix user registr problem
344,Prepare user manual,Documentation,High,4,5,10,Manager_1,prepar user manual
345,Develop payment gateway,Development,High,29,16,71,Developer_2,develop payment gateway
346,Test payment module,Testing,Medium,2,3,93,Manager_1,test payment modul
347,Build task management module,Development,High,28,2,32,Designer_1,build task manag modul
348,Develop user authentication module,Development,Critical,13,16,33,Tester_1,develop user authent modul
349,Fix login authentication bug,Bug,Medium,20,4,52,Tester_1,fix login authent bug
350,Write technical documentation,Documentation,Medium,16,5,74,Designer_1,write technic document
351,Perform API testing,Testing,High,11,6,68,Tester_1,perform api test
352,Develop user authentication module,Development,High,26,10,82,Developer_2,develop user authent modul
353,Build task management module,Development,Critical,29,13,64,Manager_1,build task manag modul
354,Test login functionality,Testing,Medium,4,6,27,Designer_1,test login function
355,Perform API testing,Testing,Low,13,8,67,Tester_1,perform api test
356,Test payment module,Testing,High,19,1,43,Tester_1,test payment modul
357,Develop user authentication module,Development,High,15,10,30,Designer_1,develop user authent modul
358,Design mobile interface,Design,High,23,4,91,Tester_1,design mobil interfac
359,Perform regression testing,Testing,Medium,5,16,29,Designer_1,perform regress test
360,Design user profile interface,Design,Medium,18,16,78,Developer_2,design user profil interfac
361,Create user profile page,Development,High,28,3,77,Designer_1,creat user profil page
362,Design mobile interface,Design,Medium,30,19,24,Developer_1,design mobil interfac
363,Create application prototype,Design,Medium,18,5,31,Tester_1,creat applic prototyp
364,Improve website layout,Design,Low,7,19,72,Developer_1,improv websit layout
365,Improve website layout,Design,High,15,5,75,Designer_1,improv websit layout
366,Update installation guide,Documentation,Low,15,10,12,Designer_1,updat instal guid
367,Validate dashboard functionality,Testing,Low,7,19,19,Developer_1,valid dashboard function
368,Prepare user manual,Documentation,High,18,2,18,Designer_1,prepar user manual
369,Fix database connection issue,Bug,Medium,25,5,92,Designer_1,fix databas connect issu
370,Check application security,Testing,Medium,30,13,58,Developer_1,check applic secur
371,Create dashboard UI,Design,High,12,4,32,Manager_1,creat dashboard ui
372,Update installation guide,Documentation,Low,8,1,12,Tester_1,updat instal guid
373,Write technical documentation,Documentation,High,14,18,58,Developer_2,write technic document
374,Develop payment gateway,Development,Medium,9,7,24,Developer_1,develop payment gateway
375,Update installation guide,Documentation,High,29,1,40,Developer_2,updat instal guid
376,Fix login authentication bug,Bug,High,15,20,96,Developer_1,fix login authent bug
377,Create user profile page,Development,Low,15,8,79,Developer_2,creat user profil page
378,Resolve payment processing error,Bug,Medium,10,8,83,Tester_1,resolv payment process error
379,Create application prototype,Design,High,27,11,40,Tester_1,creat applic prototyp
380,Create user profile page,Development,Medium,14,10,45,Developer_1,creat user profil page
381,Create application prototype,Design,Critical,30,6,90,Designer_1,creat applic prototyp
382,Improve website layout,Design,Low,12,13,77,Tester_1,improv websit layout
383,Document database structure,Documentation,Low,13,6,78,Designer_1,document databas structur
384,Implement notification system,Development,Medium,28,5,69,Developer_1,implement notif system
385,Improve website layout,Design,Critical,18,17,27,Designer_1,improv websit layout
386,Implement dashboard functionality,Development,Medium,21,3,67,Tester_1,implement dashboard function
387,Resolve application crash,Bug,High,7,2,44,Designer_1,resolv applic crash
388,Create application prototype,Design,Low,3,7,85,Manager_1,creat applic prototyp
