Task_ID,Task_Description,Category,Priority,Days_Remaining,Estimated_Hours,Current_Workload,Assigned_User
56,Test login functionality,Testing,Low,25,5,91,Tester_1
57,Create user profile page,Development,Medium,23,14,81,Developer_1
58,Fix login authentication bug,Bug,Critical,23,5,79,Developer_1
59,Perform regression testing,Testing,High,14,5,15,Tester_1
60,Validate dashboard functionality,Testing,Critical,2,12,36,Developer_2
61,Fix database connection issue,Bug,High,29,14,89,Developer_2
62,Implement notification system,Development,Low,26,6,62,Developer_1
63,Create user profile page,Development,Critical,26,14,95,Developer_2
64,Perform API testing,Testing,High,4,13,14,Designer_1
65,Create REST API for products,Development,High,15,12,49,Developer_2
66,Develop user authentication module,Development,High,13,11,45,Developer_1
67,Test payment module,Testing,High,13,18,52,Developer_1
68,Fix database connection issue,Bug,Low,9,2,23,Manager_1
69,Prepare user manual,Documentation,High,11,14,87,Manager_1
70,Debug API response failure,Bug,Critical,7,9,15,Designer_1
71,Resolve application crash,Bug,Critical,18,7,56,Designer_1
72,Fix user registration problem,Bug,Critical,20,11,94,Developer_1
73,Perform regression testing,Testing,Medium,14,11,61,Tester_1
74,Create dashboard UI,Design,Low,22,13,96,Developer_2
75,Create application prototype,Design,Medium,18,1,48,Tester_1
76,Develop payment gateway,Development,High,20,11,69,Designer_1
77,Write technical documentation,Documentation,Medium,16,6,94,Developer_1
78,Perform regression testing,Testing,High,20,11,21,Developer_2
79,Perform API testing,Testing,High,5,1,15,Developer_2
80,Update installation guide,Documentation,High,3,15,63,Manager_1
81,Create user profile page,Development,High,16,13,41,Developer_2
82,Correct password reset issue,Bug,Critical,29,4,64,Developer_2
83,Implement notification system,Development,Critical,17,15,16,Manager_1
84,Implement notification system,Development,Low,5,15,95,Manager_1
85,Create application prototype,Design,Medium,25,15,88,Manager_1
86,Update installation guide,Documentation,Medium,6,16,67,Tester_1
87,Implement notification system,Development,High,25,17,72,Developer_2
88,Check application security,Testing,Low,10,8,44,Tester_1
89,Perform regression testing,Testing,Low,5,8,59,Developer_2
90,Develop user authentication module,Development,Medium,11,18,69,Designer_1
91,Resolve payment processing error,Bug,High,13,19,99,Developer_1
92,Improve website layout,Design,Medium,12,10,59,Designer_1
93,Design mobile interface,Design,High,26,20,38,Designer_1
94,Implement dashboard functionality,Development,Medium,1,13,53,Designer_1
95,Implement notification system,Development,Medium,5,20,78,Developer_1
96,Update installation guide,Documentation,High,1,3,92,Designer_1
97,Implement notification system,Development,Medium,2,9,58,Tester_1
98,Develop payment gateway,Development,Medium,25,13,45,Designer_1
99,Validate dashboard functionality,Testing,Low,1,18,16,Tester_1
100,Create user profile page,Development,Low,21,2,13,Developer_2
101,Implement notification system,Development,Low,5,8,26,Designer_1
102,Resolve application crash,Bug,Critical,15,9,57,Developer_2
103,Create application prototype,Design,Critical,23,4,30,Tester_1
104,Resolve application crash,Bug,Low,10,19,96,Designer_1
105,Write technical documentation,Documentation,Low,19,8,23,Tester_1
106,Design login page,Design,High,19,2,54,Manager_1
107,Write technical documentation,Documentation,Medium,17,11,11,Designer_1
108,Update project documentation,Documentation,Medium,12,15,100,Developer_2
109,Write API documentation,Documentation,High,21,9,88,Manager_1
110,Document database structure,Documentation,Medium,24,19,44,Tester_1
111,Implement notification system,Development,Critical,9,15,41,Designer_1
112,Create application prototype,Design,High,11,1,73,Tester_1
113,Develop payment gateway,Development,Medium,26,9,53,Tester_1
114,Design mobile interface,Design,Critical,18,1,76,Developer_2
115,Resolve payment processing error,Bug,High,16,18,40,Designer_1
116,Document database structure,Documentation,High,3,10,38,Designer_1
117,Implement dashboard functionality,Development,High,12,16,80,Manager_1
118,Check application security,Testing,Critical,18,11,55,Designer_1
119,Test payment module,Testing,Medium,4,7,50,Developer_1
120,Design mobile interface,Design,Low,7,16,45,Manager_1
121,Create application prototype,Design,Medium,4,7,47,Developer_2
122,Perform API testing,Testing,Medium,23,18,26,Tester_1
123,Fix login authentication bug,Bug,High,23,5,91,Designer_1
124,Correct password reset issue,Bug,Low,10,16,71,Designer_1
125,Perform API testing,Testing,Critical,9,16,24,Developer_1
126,Document database structure,Documentation,Low,21,2,29,Developer_2
127,Design user profile interface,Design,Low,8,4,81,Designer_1
128,Create application prototype,Design,High,8,17,58,Designer_1
129,Prepare user manual,Documentation,Critical,14,10,82,Manager_1
130,Resolve application crash,Bug,Critical,4,7,90,Developer_2
131,Test user registration,Testing,Low,8,6,80,Developer_1
132,Develop user authentication module,Development,Medium,23,20,70,Tester_1
133,Resolve payment processing error,Bug,Medium,10,15,19,Developer_2
134,Validate dashboard functionality,Testing,High,19,7,64,Developer_1
135,Create dashboard UI,Design,High,30,9,28,Developer_1
136,Resolve payment processing error,Bug,High,20,19,46,Designer_1
137,Debug API response failure,Bug,High,23,13,44,Manager_1
138,Improve website layout,Design,Medium,20,2,65,Tester_1
139,Design user profile interface,Design,Low,8,19,85,Developer_1
140,Perform regression testing,Testing,Low,25,6,70,Manager_1
141,Prepare user manual,Documentation,Low,19,14,91,Designer_1
142,Debug API response failure,Bug,Medium,11,11,95,Developer_1
143,Implement dashboard functionality,Development,Medium,16,10,94,Designer_1
144,Design login page,Design,Medium,11,9,51,Developer_1
145,Update installation guide,Documentation,High,1,18,69,Designer_1
146,Resolve payment processing error,Bug,Medium,20,16,90,Designer_1
147,Resolve payment processing error,Bug,Medium,5,10,66,Designer_1
148,Fix login authentication bug,Bug,Critical,20,8,100,Developer_2
149,Perform regression testing,Testing,Low,14,3,38,Developer_1
150,Update project documentation,Documentation,High,5,16,47,Manager_1
151,Check application security,Testing,High,16,8,68,Manager_1
152,Develop payment gateway,Development,Low,20,17,27,Developer_1
153,Validate dashboard functionality,Testing,High,14,11,74,Tester_1
154,Fix database connection issue,Bug,High,27,19,84,Designer_1
155,Develop payment gateway,Development,Medium,12,11,80,Manager_1
156,Document database structure,Documentation,Critical,28,7,99,Developer_2
157,Improve website layout,Design,Medium,25,14,15,Tester_1
158,Write technical documentation,Documentation,Critical,13,13,94,Developer_2
159,Update project documentation,Documentation,Low,19,11,22,Designer_1
160,Resolve application crash,Bug,Critical,1,5,62,Developer_2
161,Debug API response failure,Bug,High,9,11,89,Designer_1
162,Correct password reset issue,Bug,Medium,22,18,58,Tester_1
163,Update installation guide,Documentation,Low,3,8,90,Tester_1
164,Create user profile page,Development,Low,4,4,66,Developer_2
165,Test login functionality,Testing,Low,26,2,47,Tester_1
166,Check application security,Testing,Low,17,14,82,Developer_2
167,Create REST API for products,Development,Low,28,13,89,Developer_2
168,Update installation guide,Documentation,Low,15,9,68,Tester_1
169,Correct password reset issue,Bug,Medium,10,18,30,Developer_1
170,Prepare user manual,Documentation,Critical,10,14,98,Tester_1
171,Prepare user manual,Documentation,Low,13,16,23,Developer_2
172,Update installation guide,Documentation,Medium,10,10,12,Designer_1
173,Test login functionality,Testing,High,22,2,87,Designer_1
174,Validate dashboard functionality,Testing,High,20,12,38,Developer_2
175,Design user profile interface,Design,High,24,5,90,Developer_1
176,Fix database connection issue,Bug,High,2,19,56,Developer_2
177,Fix database connection issue,Bug,Medium,14,6,35,Developer_2
178,Design user profile interface,Design,Medium,30,9,31,Tester_1
179,Prepare user manual,Documentation,High,11,4,69,Developer_1
180,Implement notification system,Development,Critical,28,13,81,Tester_1
181,Correct password reset issue,Bug,Medium,9,18,25,Designer_1
182,Test user registration,Testing,High,9,19,58,Tester_1
183,Fix user registration problem,Bug,Medium,1,20,81,Tester_1
184,Create dashboard UI,Design,High,21,15,99,Tester_1
185,Update project documentation,Documentation,Low,2,10,73,Developer_1
186,Resolve payment processing error,Bug,Critical,5,13,68,Tester_1
187,Improve website layout,Design,High,24,5,63,Developer_1
188,Update installation guide,Documentation,Medium,9,2,98,Tester_1
189,Develop payment gateway,Development,Medium,8,12,22,Tester_1
190,Design mobile interface,Design,Medium,13,9,34,Developer_1
191,Update project documentation,Documentation,High,21,20,12,Developer_1
192,Perform API testing,Testing,Critical,26,19,36,Developer_1
193,Create dashboard UI,Design,High,27,8,52,Developer_2
194,Design login page,Design,Medium,5,5,79,Tester_1
195,Develop user authentication module,Development,High,1,5,11,Tester_1
196,Build task management module,Development,Medium,6,9,16,Developer_2
197,Update installation guide,Documentation,Low,3,16,67,Tester_1
198,Create application prototype,Design,Low,17,8,88,Developer_1
199,Design user profile interface,Design,Medium,1,2,71,Designer_1
200,Write technical documentation,Documentation,Low,23,15,19,Developer_1
201,Perform regression testing,Testing,Low,5,9,89,Manager_1
202,Design mobile interface,Design,Medium,20,17,47,Designer_1
203,Create application prototype,Design,Medium,26,4,93,Manager_1
204,Develop payment gateway,Development,Medium,8,14,53,Designer_1
205,Document database structure,Documentation,High,11,14,50,Tester_1
206,Perform API testing,Testing,High,16,3,21,Developer_1
207,Debug API response failure,Bug,Low,24,12,26,Manager_1
208,Resolve application crash,Bug,Critical,18,11,95,Developer_1
209,Prepare user manual,Documentation,Critical,25,14,16,Tester_1
210,Design user profile interface,Design,Medium,19,17,37,Developer_2
211,Write API documentation,Documentation,High,12,18,57,Developer_1
212,Perform regression testing,Testing,Medium,14,18,89,Manager_1
213,Design login page,Design,High,22,9,13,Developer_2
214,Test user registration,Testing,High,30,11,54,Developer_1
215,Implement notification system,Development,Low,22,13,18,Developer_2
216,Fix login authentication bug,Bug,High,7,13,63,Designer_1
217,Perform API testing,Testing,Medium,24,11,82,Manager_1
218,Fix login authentication bug,Bug,Low,25,20,16,Developer_1
219,Check application security,Testing,High,16,20,66,Designer_1
220,Perform API testing,Testing,High,4,12,65,Developer_1
221,Test user registration,Testing,High,16,17,95,Tester_1
222,Resolve payment processing error,Bug,Medium,20,2,10,Developer_2
223,Perform API testing,Testing,High,25,9,47,Tester_1
224,Fix login authentication bug,Bug,Medium,14,6,26,Designer_1
225,Design mobile interface,Design,Medium,18,12,19,Designer_1
226,Debug API response failure,Bug,Low,30,3,50,Manager_1
227,Update installation guide,Documentation,Medium,21,14,47,Developer_1
228,Update project documentation,Documentation,Critical,6,20,68,Tester_1
229,Debug API response failure,Bug,High,8,14,85,Designer_1
230,Design login page,Design,Medium,10,11,38,Tester_1
231,Develop user authentication module,Development,Medium,4,17,75,Developer_2
232,Test payment module,Testing,High,27,5,40,Developer_1
233,Implement dashboard functionality,Development,Low,20,5,93,Developer_1
234,Implement notification system,Development,High,15,19,84,Designer_1
235,Design mobile interface,Design,High,20,11,90,Tester_1
236,Develop payment gateway,Development,Low,15,10,45,Manager_1
237,Fix database connection issue,Bug,Medium,10,15,67,Developer_1
238,Fix database connection issue,Bug,High,3,3,88,Manager_1
239,Improve website layout,Design,Medium,18,2,67,Manager_1
240,Implement dashboard functionality,Development,High,17,5,17,Designer_1
241,Correct password reset issue,Bug,Critical,11,3,74,Developer_2
242,Resolve payment processing error,Bug,High,15,17,76,Manager_1
243,Implement dashboard functionality,Development,Medium,10,13,62,Tester_1
244,Design login page,Design,High,21,11,18,Tester_1
245,Resolve application crash,Bug,High,10,9,94,Manager_1
246,Implement dashboard functionality,Development,Low,22,5,54,Tester_1
247,Write API documentation,Documentation,High,3,10,81,Designer_1
248,Validate dashboard functionality,Testing,Low,23,17,21,Designer_1
249,Design user profile interface,Design,Low,10,6,37,Tester_1
250,Write API documentation,Documentation,Medium,5,5,19,Tester_1
251,Resolve application crash,Bug,High,27,17,14,Tester_1
252,Create dashboard UI,Design,High,5,6,33,Manager_1
253,Create user profile page,Development,Medium,14,12,96,Developer_2
254,Update installation guide,Documentation,Medium,24,15,39,Manager_1
255,Implement dashboard functionality,Development,Critical,26,16,34,Tester_1
256,Improve website layout,Design,Medium,10,13,74,Manager_1
257,Write API documentation,Documentation,High,26,20,27,Tester_1
258,Fix user registration problem,Bug,Medium,12,18,23,Manager_1
259,Fix database connection issue,Bug,Low,6,9,67,Manager_1
260,Implement notification system,Development,Medium,30,8,67,Tester_1
261,Debug API response failure,Bug,Low,17,12,40,Designer_1
262,Fix database connection issue,Bug,Medium,11,4,93,Tester_1
263,Create REST API for products,Development,Low,30,16,99,Developer_2
264,Document database structure,Documentation,High,29,3,12,Tester_1
265,Implement notification system,Development,Low,24,20,77,Designer_1
266,Correct password reset issue,Bug,Medium,10,4,16,Developer_2
267,Write technical documentation,Documentation,High,15,3,24,Designer_1
268,Create application prototype,Design,Low,17,19,40,Developer_2
269,Check application security,Testing,Low,12,8,83,Designer_1
270,Create user profile page,Development,High,17,12,18,Manager_1
271,Create application prototype,Design,High,17,18,12,Designer_1
272,Update project documentation,Documentation,High,12,9,12,Tester_1
273,Fix database connection issue,Bug,Medium,22,4,84,Tester_1
274,Develop user authentication module,Development,Medium,11,6,97,Designer_1
275,Write technical documentation,Documentation,Low,5,3,68,Developer_1
276,Perform API testing,Testing,Low,7,2,50,Tester_1
277,Improve website layout,Design,Critical,18,16,42,Developer_1
278,Implement dashboard functionality,Development,Medium,25,2,93,Tester_1
279,Test login functionality,Testing,High,14,13,66,Designer_1
280,Perform API testing,Testing,Medium,16,12,76,Tester_1
281,Fix user registration problem,Bug,Medium,14,20,33,Manager_1
282,Test payment module,Testing,Low,11,10,49,Designer_1
283,Design mobile interface,Design,Medium,23,15,54,Designer_1
284,Fix user registration problem,Bug,Critical,12,20,65,Tester_1
285,Fix login authentication bug,Bug,High,13,12,75,Developer_2
286,Resolve payment processing error,Bug,High,22,15,14,Developer_2
287,Resolve payment processing error,Bug,High,12,12,59,Manager_1
288,Resolve application crash,Bug,Low,15,12,57,Designer_1
289,Resolve application crash,Bug,Low,12,13,50,Tester_1
290,Develop user authentication module,Development,Low,6,16,76,Designer_1
291,Design login page,Design,Medium,9,15,37,Manager_1
292,Test user registration,Testing,Critical,16,7,25,Developer_2
293,Debug API response failure,Bug,Low,23,15,21,Tester_1
294,Test user registration,Testing,Low,18,10,48,Developer_2
295,Implement notification system,Development,Medium,8,4,35,Developer_2
296,Implement notification system,Development,Medium,12,18,83,Tester_1
297,Update installation guide,Documentation,Low,29,3,18,Tester_1
298,Write technical documentation,Documentation,High,17,14,62,Manager_1
299,Resolve payment processing error,Bug,Critical,21,3,67,Designer_1
300,Design user profile interface,Design,Low,27,18,91,Manager_1
301,Implement notification system,Development,Critical,14,17,17,Developer_1
302,Create dashboard UI,Design,Medium,6,11,100,Developer_2
303,Perform regression testing,Testing,Critical,28,3,42,Developer_2
304,Design user profile interface,Design,Low,10,20,78,Developer_1
305,Design mobile interface,Design,Low,19,5,31,Manager_1
306,Design user profile interface,Design,High,19,2,13,Developer_1
307,Fix user registration problem,Bug,High,9,7,83,Designer_1
308,Design mobile interface,Design,Low,29,18,47,Tester_1
309,Write API documentation,Documentation,High,22,13,48,Designer_1
310,Fix user registration problem,Bug,Low,15,14,71,Designer_1
311,Implement dashboard functionality,Development,High,11,11,54,Designer_1
312,Implement notification system,Development,Medium,18,4,50,Developer_2
313,Update project documentation,Documentation,Medium,8,5,22,Developer_1
314,Check application security,Testing,Critical,14,8,30,Tester_1
315,Design mobile interface,Design,Medium,25,6,73,Manager_1
316,Document database structure,Documentation,Critical,16,1,21,Designer_1
317,Improve website layout,Design,Critical,7,19,55,Developer_1
318,Fix database connection issue,Bug,Medium,29,16,46,Manager_1
319,Correct password reset issue,Bug,Low,5,9,56,Designer_1
320,Test login functionality,Testing,Medium,19,18,34,Tester_1
321,Design user profile interface,Design,Low,17,15,80,Tester_1
322,Design mobile interface,Design,High,5,4,60,Tester_1
323,Perform regression testing,Testing,Critical,25,5,35,Manager_1
324,Improve website layout,Design,Medium,2,2,27,Tester_1
325,Update installation guide,Documentation,Medium,20,17,27,Tester_1
326,Design user profile interface,Design,Low,20,10,85,Tester_1
327,Create application prototype,Design,Medium,23,19,48,Designer_1
328,Fix database connection issue,Bug,Medium,4,14,84,Tester_1
329,Resolve application crash,Bug,Medium,21,19,83,Developer_2
330,Resolve application crash,Bug,Medium,17,20,58,Developer_2
331,Develop user authentication module,Development,High,23,4,34,Developer_1
332,Prepare user manual,Documentation,Medium,14,7,62,Manager_1
333,Improve website layout,Design,Critical,24,2,100,Developer_2
334,Create dashboard UI,Design,High,22,16,77,Designer_1
335,Perform API testing,Testing,Medium,18,11,79,Tester_1
336,Perform regression testing,Testing,Medium,8,9,81,Tester_1
337,Implement dashboard functionality,Development,High,23,7,98,Designer_1
338,Check application security,Testing,Medium,30,9,46,Developer_1
339,Design mobile interface,Design,Medium,29,13,54,Developer_2
340,Test login functionality,Testing,Medium,23,3,54,Designer_1
341,Test user registration,Testing,Medium,7,18,44,Manager_1
342,Perform API testing,Testing,Low,24,19,40,Developer_2
343,Fix user registration problem,Bug,Critical,8,8,16,Developer_1
344,Prepare user manual,Documentation,High,4,5,10,Manager_1
345,Develop payment gateway,Development,High,29,16,71,Developer_2
346,Test payment module,Testing,Medium,2,3,93,Manager_1
347,Build task management module,Development,High,28,2,32,Designer_1
348,Develop user authentication module,Development,Critical,13,16,33,Tester_1
349,Fix login authentication bug,Bug,Medium,20,4,52,Tester_1
350,Write technical documentation,Documentation,Medium,16,5,74,Designer_1
351,Perform API testing,Testing,High,11,6,68,Tester_1
352,Develop user authentication module,Development,High,26,10,82,Developer_2
353,Build task management module,Development,Critical,29,13,64,Manager_1
354,Test login functionality,Testing,Medium,4,6,27,Designer_1
355,Perform API testing,Testing,Low,13,8,67,Tester_1
356,Test payment module,Testing,High,19,1,43,Tester_1
357,Develop user authentication module,Development,High,15,10,30,Designer_1
358,Design mobile interface,Design,High,23,4,91,Tester_1
359,Perform regression testing,Testing,Medium,5,16,29,Designer_1
360,Design user profile interface,Design,Medium,18,16,78,Developer_2
361,Create user profile page,Development,High,28,3,77,Designer_1
362,Design mobile interface,Design,Medium,30,19,24,Developer_1
363,Create application prototype,Design,Medium,18,5,31,Tester_1
364,Improve website layout,Design,Low,7,19,72,Developer_1
365,Improve website layout,Design,High,15,5,75,Designer_1
366,Update installation guide,Documentation,Low,15,10,12,Designer_1
367,Validate dashboard functionality,Testing,Low,7,19,19,Developer_1
368,Prepare user manual,Documentation,High,18,2,18,Designer_1
369,Fix database connection issue,Bug,Medium,25,5,92,Designer_1
370,Check application security,Testing,Medium,30,13,58,Developer_1
371,Create dashboard UI,Design,High,12,4,32,Manager_1
372,Update installation guide,Documentation,Low,8,1,12,Tester_1
373,Write technical documentation,Documentation,High,14,18,58,Developer_2
374,Develop payment gateway,Development,Medium,9,7,24,Developer_1
375,Update installation guide,Documentation,High,29,1,40,Developer_2
376,Fix login authentication bug,Bug,High,15,20,96,Developer_1
377,Create user profile page,Development,Low,15,8,79,Developer_2
378,Resolve payment processing error,Bug,Medium,10,8,83,Tester_1
379,Create application prototype,Design,High,27,11,40,Tester_1
380,Create user profile page,Development,Medium,14,10,45,Developer_1
381,Create application prototype,Design,Critical,30,6,90,Designer_1
382,Improve website layout,Design,Low,12,13,77,Tester_1
383,Document database structure,Documentation,Low,13,6,78,Designer_1
384,Implement notification system,Development,Medium,28,5,69,Developer_1
385,Improve website layout,Design,Critical,18,17,27,Designer_1
386,Implement dashboard functionality,Development,Medium,21,3,67,Tester_1
387,Resolve application crash,Bug,High,7,2,44,Designer_1
388,Create application prototype,Design,Low,3,7,85,Manager_1
389,Develop payment gateway,Development,Medium,30,11,48,Developer_1
390,Create REST API for products,Development,Critical,4,16,41,Manager_1
391,Develop payment gateway,Development,Critical,18,11,46,Designer_1
392,Update installation guide,Documentation,High,10,9,56,Manager_1
393,Document database structure,Documentation,Low,24,16,50,Developer_2
394,Test payment module,Testing,Medium,19,8,28,Developer_1
395,Perform regression testing,Testing,Critical,19,14,47,Developer_2
396,Implement dashboard functionality,Development,Medium,19,8,73,Manager_1
397,Test payment module,Testing,High,16,16,68,Developer_2
398,Perform API testing,Testing,Low,18,16,33,Manager_1
399,Resolve application crash,Bug,Low,28,3,95,Developer_1
400,Debug API response failure,Bug,Low,21,8,18,Developer_2
401,Resolve payment processing error,Bug,Medium,12,2,89,Manager_1
402,Write technical documentation,Documentation,Medium,1,18,80,Designer_1
403,Fix login authentication bug,Bug,Medium,9,18,46,Developer_1
404,Design mobile interface,Design,High,26,6,23,Developer_1
405,Create dashboard UI,Design,Medium,20,17,42,Tester_1
406,Validate dashboard functionality,Testing,Medium,12,13,68,Manager_1
407,Create user profile page,Development,Medium,22,3,93,Developer_1
408,Debug API response failure,Bug,Medium,18,16,17,Developer_1
409,Develop user authentication module,Development,Medium,14,11,82,Developer_1
410,Design login page,Design,Medium,29,19,70,Tester_1
411,Fix login authentication bug,Bug,High,9,18,82,Developer_1
412,Implement notification system,Development,Medium,7,19,28,Designer_1
413,Fix database connection issue,Bug,Low,8,19,59,Manager_1
414,Check application security,Testing,High,5,3,74,Tester_1
415,Fix login authentication bug,Bug,Medium,27,3,53,Manager_1
416,Create application prototype,Design,Medium,25,11,13,Tester_1
417,Document database structure,Documentation,Medium,18,13,65,Developer_2
418,Design mobile interface,Design,Medium,25,20,47,Developer_2
419,Fix login authentication bug,Bug,Medium,13,5,59,Tester_1
420,Test login functionality,Testing,Low,10,15,56,Tester_1
421,Resolve payment processing error,Bug,Low,14,15,81,Manager_1
422,Improve website layout,Design,Low,3,12,80,Developer_1
423,Create application prototype,Design,High,28,13,11,Tester_1
424,Document database structure,Documentation,High,24,18,41,Manager_1
425,Create dashboard UI,Design,High,6,5,44,Tester_1
426,Check application security,Testing,Low,6,14,45,Designer_1
427,Check application security,Testing,High,12,9,41,Designer_1
428,Create application prototype,Design,Low,4,5,48,Developer_1
429,Prepare user manual,Documentation,High,13,11,66,Tester_1
430,Write technical documentation,Documentation,Critical,5,10,51,Manager_1
431,Develop payment gateway,Development,Medium,13,11,47,Designer_1
432,Create dashboard UI,Design,Medium,9,13,56,Developer_1
433,Create dashboard UI,Design,High,18,6,97,Manager_1
434,Fix user registration problem,Bug,Medium,23,7,66,Tester_1
435,Correct password reset issue,Bug,High,26,14,96,Designer_1
436,Create user profile page,Development,Medium,9,5,64,Designer_1
437,Debug API response failure,Bug,Critical,16,19,61,Manager_1
438,Design mobile interface,Design,Medium,2,12,99,Manager_1
439,Design mobile interface,Design,Critical,4,8,94,Tester_1
440,Create user profile page,Development,High,19,13,52,Designer_1
441,Fix login authentication bug,Bug,Low,8,17,76,Manager_1
442,Design mobile interface,Design,High,15,12,60,Designer_1
443,Design mobile interface,Design,Medium,12,1,71,Developer_1
444,Check application security,Testing,Critical,3,4,28,Tester_1
445,Test payment module,Testing,Medium,7,17,71,Tester_1
446,Update project documentation,Documentation,Medium,23,15,50,Developer_1
447,Test login functionality,Testing,High,4,1,53,Developer_1
448,Create user profile page,Development,Medium,6,18,30,Tester_1
449,Improve website layout,Design,Critical,8,13,90,Developer_2
450,Create user profile page,Development,High,13,1,88,Developer_2
451,Update installation guide,Documentation,Medium,1,7,36,Tester_1
452,Resolve application crash,Bug,Low,28,18,33,Tester_1
453,Perform API testing,Testing,Medium,9,16,77,Tester_1
454,Improve website layout,Design,High,19,4,54,Tester_1
455,Update installation guide,Documentation,Low,22,10,88,Manager_1
456,Fix user registration problem,Bug,Low,4,8,49,Developer_1
457,Implement dashboard functionality,Development,High,17,13,63,Manager_1
458,Build task management module,Development,Medium,6,16,91,Manager_1
459,Build task management module,Development,Low,10,5,33,Tester_1
460,Update installation guide,Documentation,Low,12,1,72,Developer_2
461,Implement notification system,Development,Medium,18,17,93,Designer_1
462,Write technical documentation,Documentation,Medium,23,15,72,Developer_2
463,Resolve application crash,Bug,Low,25,8,47,Developer_1
464,Perform API testing,Testing,Medium,6,15,82,Designer_1
465,Create application prototype,Design,Low,4,9,79,Tester_1
466,Design login page,Design,High,15,18,37,Designer_1
467,Fix user registration problem,Bug,High,25,8,48,Developer_1
468,Prepare user manual,Documentation,Medium,27,3,66,Developer_1
469,Create REST API for products,Development,High,19,12,100,Manager_1
470,Write API documentation,Documentation,High,26,7,36,Developer_1
471,Design user profile interface,Design,Medium,20,18,31,Tester_1
472,Test payment module,Testing,High,28,17,96,Developer_1
473,Implement notification system,Development,High,30,2,45,Developer_2
474,Create REST API for products,Development,Low,11,8,96,Designer_1
475,Write API documentation,Documentation,High,9,14,58,Designer_1
476,Fix user registration problem,Bug,High,25,3,61,Manager_1
477,Test user registration,Testing,Critical,12,15,72,Tester_1
478,Design login page,Design,Critical,28,3,68,Tester_1
479,Correct password reset issue,Bug,Medium,7,14,37,Designer_1
480,Test payment module,Testing,High,11,18,83,Developer_2
481,Improve website layout,Design,High,29,2,15,Developer_1
482,Update project documentation,Documentation,Low,28,6,66,Designer_1
483,Debug API response failure,Bug,Medium,23,5,93,Tester_1
484,Implement notification system,Development,Critical,9,3,93,Tester_1
